"TipoPesquisa"	"Contexto"	"Quantidade"
"Avaliacao"	"Confiabilidade"	11
"Avaliacao"	"Custo"	2
"Avaliacao"	"Desempenho"	8
"Avaliacao"	"Disponibilidade"	13
"Avaliacao"	"Escalabilidade"	5
"Avaliacao"	"Outros"	1
"Avaliacao"	"Seguranca"	8
"Avaliacao"	"SLA"	9
"Pessoal"	"Desempenho"	1
"Solucao"	"Confiabilidade"	58
"Solucao"	"Custo"	30
"Solucao"	"Desempenho"	82
"Solucao"	"Disponibilidade"	67
"Solucao"	"Escalabilidade"	12
"Solucao"	"Outros"	17
"Solucao"	"Seguranca"	22
"Solucao"	"SLA"	132
"Validacao"	"Confiabilidade"	23
"Validacao"	"Custo"	18
"Validacao"	"Desempenho"	43
"Validacao"	"Disponibilidade"	30
"Validacao"	"Escalabilidade"	6
"Validacao"	"Outros"	6
"Validacao"	"Seguranca"	7
"Validacao"	"SLA"	63
